Rank,Club,Country,Level,Elo,From,To
69,Braga,POR,1,1667.46765137,2025-08-11,2025-08-14
70,Sociedad,ESP,1,1667.32043457,2025-08-11,2025-08-16
71,Genoa,ITA,1,1664.06445312,2025-08-08,2025-08-23
72,Olympiakos,GRE,1,1661.8338623,2025-08-08,2025-08-25
73,Rennes,FRA,1,1660.51196289,2025-08-08,2025-08-15
74,Rayo Vallecano,ESP,1,1658.47619629,2025-08-07,2025-08-15
75,Zenit,RUS,1,1657.46362305,2025-08-07,2025-08-25
76,Toulouse,FRA,1,1650.93457031,2025-08-07,2025-08-16
77,Como,ITA,1,1648.34387207,2025-06-01,2025-08-24
78,Wolfsburg,GER,1,1645.72412109,2025-05-29,2025-08-23
79,Alaves,ESP,1,1644.11938477,2025-05-29,2025-08-16
80,Mallorca,ESP,1,1641.24841309,2025-05-29,2025-08-16
81,Alkmaar,NED,1,1638.38842773,2025-08-11,2025-08-14
82,Sevilla,ESP,1,1637.12219238,2025-08-11,2025-08-17
83,Girona,ESP,1,1637.03491211,2025-08-11,2025-08-15
84,Espanyol,ESP,1,1634.6619873,2025-08-11,2025-08-17
85,Gladbach,GER,1,1632.47973633,2025-08-01,2025-08-24
86,Auxerre,FRA,1,1626.12805176,2025-08-09,2025-08-17
87,Getafe,ESP,1,1625.7598877,2025-08-09,2025-08-17
88,Leicester,ENG,2,1622.3918457,2025-08-11,2025-08-16
89,Udinese,ITA,1,1620.25683594,2025-08-10,2025-08-25
90,FC Krasnodar,RUS,1,1619.69165039,2025-08-10,2025-08-25
91,Augsburg,GER,1,1618.65966797,2025-08-10,2025-08-23
92,Bodoe Glimt,NOR,1,1618.04956055,2025-08-11,2025-08-15
93,Union Berlin,GER,1,1617.16503906,2025-08-11,2025-08-23
94,FC Kobenhavn,DEN,1,1616.71252441,2025-08-13,2025-08-15
95,Rangers,SCO,1,1613.31811523,2025-08-13,2025-08-25
96,Genk,BEL,1,1611.19665527,2025-08-11,2025-08-15
97,Levante,ESP,1,1610.27514648,2025-08-10,2025-08-16
98,Utrecht,NED,1,1608.40698242,2025-08-11,2025-08-14
99,Hoffenheim,GER,1,1605.84057617,2025-08-11,2025-08-23
100,Parma,ITA,1,1602.97509766,2025-08-10,2025-08-24
None,Cagliari,ITA,1,1602.27929688,2025-07-31,2025-08-24
None,Sheffield United,ENG,2,1601.63806152,2025-08-10,2025-08-16
None,Crvena Zvezda,SRB,1,1600.39599609,2025-08-13,2025-08-15
None,Leganes,ESP,2,1599.02905273,2025-07-06,2025-08-17
None,Sassuolo,ITA,2,1596.90942383,2025-06-01,2025-08-23
None,Viktoria Plzen,CZE,1,1595.3470459,2025-08-13,2025-08-16
None,Verona,ITA,1,1595.06713867,2025-06-01,2025-08-25
None,Lorient,FRA,1,1592.61706543,2025-08-07,2025-08-17
None,Ipswich,ENG,2,1587.79821777,2025-08-09,2025-08-17
None,Oviedo,ESP,1,1587.671875,2025-07-06,2025-08-15
None,Midtjylland,DEN,1,1585.72973633,2025-08-11,2025-08-14
None,Elche,ESP,1,1584.90917969,2025-07-06,2025-08-18
None,Nantes,FRA,1,1583.97900391,2025-08-07,2025-08-17
None,Lecce,ITA,1,1583.05090332,2025-06-01,2025-08-23
None,Reims,FRA,2,1583.01013184,2025-08-12,2025-08-16
None,CSKA Moskva,RUS,1,1581.68457031,2025-07-22,2025-08-25
None,Sparta Praha,CZE,1,1579.68505859,2025-08-11,2025-08-14
None,Empoli,ITA,1,1577.66186523,2025-06-01,2025-08-25
None,Spartak Moskva,RUS,1,1577.27185059,2025-07-20,2025-08-25
None,Anderlecht,BEL,1,1577.13671875,2025-08-11,2025-08-14
None,St Pauli,GER,1,1577.10717773,2025-05-18,2025-08-23
None,Guimaraes,POR,1,1576.76818848,2025-08-12,2025-08-16
None,Twente,NED,1,1573.81359863,2025-08-11,2025-08-17
None,Metz,FRA,1,1572.80175781,2025-08-07,2025-08-17
None,Salzburg,AUT,1,1569.29992676,2025-08-13,2025-08-16
None,Las Palmas,ESP,2,1563.5020752,2025-07-06,2025-08-17
None,Mirandes,ESP,2,1560.61938477,2025-06-22,2025-08-17
None,Southampton,ENG,2,1559.00683594,2025-08-10,2025-08-17
None,Heidenheim,GER,1,1558.72509766,2025-05-18,2025-08-23
None,Venezia,ITA,1,1557.56445312,2025-06-01,2025-08-25
None,Shakhtar,UKR,1,1557.03222656,2025-08-08,2025-08-14
None,Hamburg,GER,1,1554.54541016,2025-07-06,2025-08-24
None,Sturm Graz,AUT,1,1554.41430664,2025-08-11,2025-08-16
None,Hammarby,SWE,1,1554.1282959,2025-08-11,2025-08-14
None,Dynamo Moskva,RUS,1,1553.48913574,2025-07-19,2025-08-25
None,Koeln,GER,1,1552.19445801,2025-07-06,2025-08-24
None,Le Havre,FRA,1,1550.5682373,2025-08-07,2025-08-16
None,Antwerp,BEL,1,1547.71350098,2025-08-11,2025-08-17
None,Sunderland,ENG,1,1547.09899902,2025-07-06,2025-08-16
None,Bristol City,ENG,2,1544.11425781,2025-08-10,2025-08-16
None,West Brom,ENG,2,1544.08520508,2025-08-10,2025-08-16
None,Almeria,ESP,2,1543.83959961,2025-06-12,2025-08-18
None,Coventry,ENG,2,1543.39782715,2025-08-10,2025-08-16
None,Cremonese,ITA,2,1541.8671875,2025-06-02,2025-08-23
None,Mjaellby,SWE,1,1540.92175293,2025-08-10,2025-08-17
None,Paris FC,FRA,1,1540.16564941,2025-08-07,2025-08-17
None,Middlesbrough,ENG,2,1537.41906738,2025-08-10,2025-08-16
None,Angers,FRA,1,1535.27124023,2025-08-07,2025-08-17
None,Malmoe,SWE,1,1534.74682617,2025-08-13,2025-08-16
None,Millwall,ENG,2,1534.3314209,2025-08-10,2025-08-16
None,Lok Moskva,RUS,1,1534.22094727,2025-07-20,2025-08-25
None,PAOK,GRE,1,1533.11877441,2025-08-08,2025-08-14
None,Bochum,GER,2,1532.87695312,2025-08-11,2025-08-25
None,Pisa,ITA,2,1531.47106934,2025-06-01,2025-08-24
None,Granada,ESP,2,1530.5970459,2025-06-02,2025-08-16
None,Famalicao,POR,1,1530.36889648,2025-08-11,2025-08-16
None,Saint-Etienne,FRA,2,1528.75976562,2025-08-10,2025-08-16
None,Brondby,DEN,1,1526.99890137,2025-08-11,2025-08-14
None,Eibar,ESP,2,1525.10400391,2025-06-02,2025-08-16
None,M Tel Aviv,ISR,1,1524.87036133,2025-08-08,2025-08-14
None,Dinamo Zagreb,CRO,1,1523.2791748,2025-08-09,2025-08-16
None,Spezia,ITA,2,1523.2590332,2025-06-02,2025-08-25
None,Santander,ESP,2,1522.47351074,2025-06-13,2025-08-16
None,Cadiz,ESP,2,1520.49853516,2025-06-02,2025-08-17
None,AEK,GRE,1,1519.36328125,2025-08-08,2025-08-14
None,Monza,ITA,1,1519.14416504,2025-06-01,2025-08-25
None,Nijmegen,NED,1,1518.11035156,2025-08-10,2025-08-16
None,Viking,NOR,1,1517.3548584,2025-08-14,2025-08-25
None,Lech,POL,1,1517.00598145,2025-08-13,2025-08-16
None,Panathinaikos,GRE,1,1514.4309082,2025-08-08,2025-08-14
None,Rakow,POL,1,1514.39660645,2025-08-08,2025-08-14
None,Elfsborg,SWE,1,1514.38720703,2025-08-12,2025-08-16
None,Dynamo Kyiv,UKR,1,1513.25244141,2025-08-13,2025-08-25
None,Karabakh Agdam,AZE,0,1513.0838623,2025-08-13,2025-08-25
None,Holstein,GER,2,1510.75854492,2025-08-11,2025-08-25
None,Swansea,ENG,2,1506.48706055,2025-08-10,2025-08-16
None,Blackburn,ENG,2,1506.39135742,2025-08-10,2025-08-16
None,Go Ahead Eagles,NED,1,1504.32263184,2025-08-09,2025-08-17
None,Basel,SUI,1,1503.04174805,2025-08-11,2025-08-25
None,Huesca,ESP,2,1501.46777344,2025-06-02,2025-08-17
None,Jablonec,CZE,1,1501.20788574,2025-08-11,2025-08-16
None,Paphos,CYP,0,1500.74951172,2025-08-13,2025-08-25
None,Besiktas,TUR,1,1500.71704102,2025-08-11,2025-08-14
None,Ferencvaros,HUN,1,1500.34545898,2025-08-13,2025-08-16
None,Legia,POL,1,1499.66333008,2025-08-11,2025-08-14
None,Mechelen,BEL,1,1499.25305176,2025-08-10,2025-08-16
None,Paderborn,GER,2,1498.50732422,2025-08-09,2025-08-25
None,Norwich,ENG,2,1497.75878906,2025-08-10,2025-08-16
None,Elversberg,GER,2,1497.43920898,2025-08-11,2025-08-25
None,Razgrad,BUL,1,1497.38781738,2025-08-13,2025-08-17
None,Albacete,ESP,2,1496.5090332,2025-06-02,2025-08-18
None,Sparta Rotterdam,NED,1,1496.45654297,2025-08-10,2025-08-17
None,Charleroi,BEL,1,1495.73242188,2025-08-11,2025-08-17
None,Hull,ENG,2,1495.1640625,2025-08-10,2025-08-17
None,Hannover,GER,2,1492.12426758,2025-08-10,2025-08-25
None,Brann,NOR,1,1491.55407715,2025-08-08,2025-08-14
None,Karlsruhe,GER,2,1490.94763184,2025-08-11,2025-08-25
None,QPR,ENG,2,1490.68347168,2025-08-10,2025-08-16
None,Santa Clara,POR,1,1488.74780273,2025-08-11,2025-08-14
None,Portsmouth,ENG,2,1487.92797852,2025-08-10,2025-08-16
None,Banik Ostrava,CZE,1,1487.82409668,2025-08-11,2025-08-14
None,Gijon,ESP,2,1487.59106445,2025-06-01,2025-08-18
None,Beer-Sheva,ISR,1,1485.82531738,2025-08-08,2025-08-25
None,Stoke,ENG,2,1485.82067871,2025-08-10,2025-08-16
None,Arouca,POR,1,1485.76074219,2025-08-10,2025-08-17
None,Sheffield Weds,ENG,2,1484.62475586,2025-08-11,2025-08-16
None,Bueyueksehir,TUR,1,1484.4987793,2025-08-14,2025-08-17
None,Djurgarden,SWE,1,1484.3359375,2025-08-11,2025-08-17
None,Jagiellonia,POL,1,1483.90563965,2025-08-11,2025-08-14
None,Nordsjaelland,DEN,1,1483.19995117,2025-08-11,2025-08-15
None,Montpellier,FRA,2,1482.96520996,2025-08-10,2025-08-25
None,Wolfsberg,AUT,1,1481.49804688,2025-08-11,2025-08-14
None,Young Boys,SUI,1,1479.97070312,2025-08-11,2025-08-25
None,Trabzonspor,TUR,1,1479.28308105,2025-08-12,2025-08-18
None,Zwolle,NED,1,1478.09020996,2025-08-11,2025-08-15
None,Aris Limassol,CYP,0,1477.46166992,2025-08-08,2025-08-14
None,Larnaca,CYP,0,1475.22338867,2025-08-08,2025-08-14
None,Estoril,POR,1,1474.31201172,2025-08-12,2025-08-16
None,Burgos,ESP,2,1473.21594238,2025-06-01,2025-08-15
None,Moreirense,POR,1,1473.17529297,2025-08-11,2025-08-17
None,AIK,SWE,1,1472.69116211,2025-08-11,2025-08-14
None,Preston,ENG,2,1471.16577148,2025-08-10,2025-08-16
None,Frosinone,ITA,2,1470.95263672,2025-06-01,2025-08-25
None,CFR Cluj,ROM,1,1470.81298828,2025-08-08,2025-08-14
None,Duesseldorf,GER,2,1470.67443848,2025-08-10,2025-08-25
None,Darmstadt,GER,2,1469.79675293,2025-08-09,2025-08-25
None,Steaua,ROM,1,1468.54345703,2025-08-11,2025-08-14
None,Omonia,CYP,0,1468.11535645,2025-08-08,2025-08-14
None,Gent,BEL,1,1467.95922852,2025-08-10,2025-08-16
None,Palermo,ITA,2,1467.56677246,2025-06-01,2025-08-25
None,Valladolid,ESP,2,1467.32788086,2025-07-06,2025-08-15
None,Cordoba,ESP,2,1467.14428711,2025-06-02,2025-08-18
None,Casa Pia,POR,1,1464.66162109,2025-08-09,2025-08-15
None,Watford,ENG,2,1463.89172363,2025-08-10,2025-08-16
None,Austria Wien,AUT,1,1463.43017578,2025-08-11,2025-08-14
None,Randers,DEN,1,1462.79211426,2025-08-12,2025-08-17
None,St Truiden,BEL,1,1462.65539551,2025-08-09,2025-08-25
None,Castellon,ESP,2,1461.74108887,2025-05-31,2025-08-16
None,Sampdoria,ITA,2,1461.56469727,2025-06-23,2025-08-25
None,Catanzaro,ITA,2,1461.07922363,2025-06-01,2025-08-25
None,Rubin Kazan,RUS,1,1460.34338379,2025-07-21,2025-08-25
None,Pogon,POL,1,1459.55285645,2025-08-10,2025-08-17
None,Guingamp,FRA,2,1458.89892578,2025-08-10,2025-08-16
None,Depor,ESP,2,1458.74169922,2025-06-02,2025-08-16
None,Derby,ENG,2,1458.11486816,2025-08-10,2025-08-16
None,Rio Ave,POR,1,1458.09631348,2025-08-08,2025-08-17
None,Rapid Wien,AUT,1,1456.34631348,2025-08-11,2025-08-14
None,Westerlo,BEL,1,1455.30651855,2025-08-10,2025-08-17
None,Bastia,FRA,2,1454.39892578,2025-08-07,2025-08-15
None,Gil Vicente,POR,1,1453.5255127,2025-08-10,2025-08-18
None,Hibernian,SCO,1,1453.16186523,2025-08-11,2025-08-14
None,Magdeburg,GER,2,1453.06176758,2025-08-10,2025-08-25
None,Juve Stabia,ITA,2,1452.53833008,2025-06-01,2025-08-25
None,Oxford,ENG,2,1451.66162109,2025-08-10,2025-08-17
None,Rostov,RUS,1,1451.55578613,2025-07-21,2025-08-25
None,Aarhus,DEN,1,1451.0402832,2025-08-09,2025-08-18
None,Craiova,ROM,1,1450.63977051,2025-08-11,2025-08-14
None,Zaragoza,ESP,2,1450.09301758,2025-05-31,2025-08-17
None,Maccabi Haifa,ISR,1,1448.95214844,2025-08-08,2025-08-14
None,Malaga,ESP,2,1448.69726562,2025-06-01,2025-08-16
None,Standard,BEL,1,1447.53515625,2025-08-11,2025-08-16
None,Heerenveen,NED,1,1447.16247559,2025-08-10,2025-08-16
None,Viborg,DEN,1,1446.70373535,2025-08-09,2025-08-17
None,Samsunspor,TUR,1,1446.25866699,2025-08-10,2025-08-16
None,Hertha,GER,2,1446.24243164,2025-08-11,2025-08-25
None,Lautern,GER,2,1446.13818359,2025-08-10,2025-08-25
None,Rosenborg,NOR,1,1446.05566406,2025-08-08,2025-08-14
None,Suedtirol,ITA,2,1444.71264648,2025-06-01,2025-08-25
None,Troyes,FRA,2,1444.46691895,2025-08-10,2025-08-15
None,Molde,NOR,1,1441.65856934,2025-08-10,2025-08-17
None,Bari,ITA,2,1439.38378906,2025-06-01,2025-08-25
None,Dunkerque,FRA,2,1438.63024902,2025-08-10,2025-08-16
None,Hajduk,CRO,1,1438.06237793,2025-08-11,2025-08-14
None,Cercle Brugge,BEL,1,1436.6348877,2025-08-10,2025-08-17
None,Laval,FRA,2,1434.85314941,2025-08-10,2025-08-15
None,Hearts,SCO,1,1434.67687988,2025-08-11,2025-08-25
None,Rodez,FRA,2,1434.16455078,2025-08-10,2025-08-16
None,Cesena,ITA,2,1433.63256836,2025-06-01,2025-08-25
None,Silkeborg,DEN,1,1432.95458984,2025-08-11,2025-08-14
None,Charlton,ENG,2,1430.65478516,2025-08-10,2025-08-16
None,Tromso,NOR,1,1429.86218262,2025-08-10,2025-08-17
None,Sittard,NED,1,1427.02148438,2025-08-09,2025-08-17
None,Birmingham,ENG,2,1425.80541992,2025-08-09,2025-08-16
None,Andorra CF,ESP,2,1425.54956055,2025-07-05,2025-08-17
None,Sociedad B,ESP,2,1425.54956055,2025-07-05,2025-08-17
None,Ceuta,ESP,2,1425.54956055,2025-07-05,2025-08-15
None,Leonesa,ESP,2,1425.54956055,2025-07-05,2025-08-15
None,LASK,AUT,1,1424.20251465,2025-08-11,2025-08-17
None,Brescia,ITA,2,1424.00305176,2025-06-01,2025-08-25
None,Cracovia,POL,1,1423.72717285,2025-08-11,2025-08-15
None,Modena,ITA,2,1422.21118164,2025-06-01,2025-08-25
None,Aris,GRE,1,1421.57763672,2025-08-08,2025-08-25
None,Kasimpasa,TUR,1,1421.54528809,2025-08-10,2025-08-18
None,Annecy,FRA,2,1421.02294922,2025-08-10,2025-08-16
None,StGallen,SUI,1,1420.76574707,2025-08-10,2025-08-25
None,Leuven,BEL,1,1419.36193848,2025-08-11,2025-08-15
None,Wrexham,ENG,2,1418.76550293,2025-08-10,2025-08-16
None,Clermont,FRA,2,1418.18566895,2025-08-10,2025-08-15
None,Servette,SUI,1,1418.05627441,2025-08-11,2025-08-14
None,Slovan Liberec,CZE,1,1416.49560547,2025-08-10,2025-08-17
None,GAIS,SWE,1,1415.77526855,2025-08-12,2025-08-17
None,Levski,BUL,1,1415.54125977,2025-08-11,2025-08-14
None,Nuernberg,GER,2,1415.29772949,2025-08-09,2025-08-25
None,Celje,SVN,1,1415.23193359,2025-08-11,2025-08-14
None,Salernitana,ITA,2,1414.70874023,2025-06-23,2025-08-25
None,Alanyaspor,TUR,1,1413.67529297,2025-08-08,2025-08-16
None,Groningen,NED,1,1412.52160645,2025-08-11,2025-08-16
None,Rijeka,CRO,1,1412.10961914,2025-08-13,2025-08-16
None,Gornik,POL,1,1411.96008301,2025-08-09,2025-08-17
None,Mantova,ITA,2,1411.92871094,2025-06-01,2025-08-25
None,Carrarese,ITA,2,1411.25695801,2025-06-01,2025-08-25
None,Konyaspor,TUR,1,1410.57641602,2025-08-11,2025-08-17
None,Schalke,GER,2,1410.35766602,2025-08-10,2025-08-25
None,Heracles,NED,1,1410.17382812,2025-08-11,2025-08-16
None,Grenoble,FRA,2,1409.58166504,2025-08-10,2025-08-15
None,Goeztepe,TUR,1,1408.06213379,2025-08-11,2025-08-16
None,Reggiana,ITA,2,1407.28869629,2025-06-01,2025-08-25
None,Nacional,POR,1,1405.79736328,2025-08-10,2025-08-17
None,Hradec Kralove,CZE,1,1404.96105957,2025-08-11,2025-08-16
None,Muenster,GER,2,1404.43835449,2025-08-09,2025-08-25
None,Piast Gliwice,POL,1,1402.18859863,2025-08-08,2025-08-16
None,Fuerth,GER,2,1402.0859375,2025-08-10,2025-08-25
None,Haecken,SWE,1,1401.23278809,2025-08-11,2025-08-14
None,Slovan Bratislava,SLK,0,1398.18347168,2025-08-13,2025-08-25
None,Goeteborg,SWE,1,1397.58728027,2025-08-12,2025-08-17
None,Pau,FRA,2,1396.93994141,2025-08-10,2025-08-15
None,Kayseri,TUR,1,1395.19543457,2025-08-11,2025-08-17
None,Braunschweig,GER,2,1393.29162598,2025-08-10,2025-08-25
None,Dender,BEL,1,1392.76953125,2025-08-09,2025-08-17
None,Amiens,FRA,2,1392.15112305,2025-08-12,2025-08-15
None,Puskas Akademia,HUN,1,1391.68774414,2025-08-11,2025-08-16
None,Kryliya Sovetov,RUS,1,1390.16931152,2025-07-20,2025-08-25
None,Radomiak,POL,1,1389.77685547,2025-08-09,2025-08-17
None,Lausanne,SUI,1,1389.77661133,2025-08-11,2025-08-14
None,Sigma Olomouc,CZE,1,1387.54919434,2025-08-11,2025-08-16
None,Partizan,SRB,1,1386.80712891,2025-08-11,2025-08-14
None,Rapid Bucuresti,ROM,1,1385.8527832,2025-08-12,2025-08-17
None,Korona,POL,1,1383.96228027,2025-08-09,2025-08-16
None,Fredrikstad,NOR,1,1382.53088379,2025-08-08,2025-08-14
None,KFUM Oslo,NOR,1,1382.33398438,2025-08-11,2025-08-17
None,Bielefeld,GER,2,1381.33728027,2025-08-11,2025-08-25
None,Zuerich,SUI,1,1380.39404297,2025-08-11,2025-08-25
None,Tondela,POR,1,1380.29858398,2025-08-11,2025-08-16
None,Estrela Amadora,POR,1,1380.16149902,2025-08-12,2025-08-16
None,Red Star,FRA,2,1379.6348877,2025-08-10,2025-08-15
None,Le Mans,FRA,2,1379.18615723,2025-08-10,2025-08-25
None,St Mirren,SCO,1,1378.77319336,2025-08-10,2025-08-25
None,Alverca,POR,1,1378.59667969,2025-08-11,2025-08-25
None,Nancy,FRA,2,1378.5526123,2025-08-10,2025-08-15
None,Rizespor,TUR,1,1377.5645752,2025-08-11,2025-08-16
None,Baltika,RUS,1,1376.85705566,2025-07-19,2025-08-25
None,Hartberg,AUT,1,1375.69238281,2025-08-10,2025-08-16
None,Boulogne,FRA,2,1375.2388916,2025-08-07,2025-08-15
None,Olimpija Ljubljana,SVN,1,1374.79907227,2025-08-11,2025-08-14
None,Sarpsborg,NOR,1,1374.17675781,2025-08-11,2025-08-17
None,Sandefjord,NOR,1,1370.98083496,2025-08-11,2025-08-17
None,Paksi,HUN,1,1370.3347168,2025-08-11,2025-08-14
None,Antalyaspor,TUR,1,1369.56152344,2025-08-10,2025-08-17
None,Gaziantep FK,TUR,1,1369.41088867,2025-08-09,2025-08-17
None,Luzern,SUI,1,1369.19836426,2025-08-10,2025-08-25
None,Cittadella,ITA,2,1367.74035645,2025-06-01,2025-08-25
None,Terek Grozny,RUS,1,1366.85632324,2025-07-21,2025-08-25
None,Sochi,RUS,1,1365.30834961,2025-07-20,2025-08-25
None,Katowice,POL,1,1363.84472656,2025-08-11,2025-08-16
None,FK Astana,KAZ,0,1363.03149414,2025-08-08,2025-08-14
None,Widzew,POL,1,1361.53369141,2025-08-10,2025-08-15
None,Eyupspor,TUR,1,1359.87963867,2025-08-11,2025-08-17
None,IK Sirius,SWE,1,1358.18371582,2025-08-10,2025-08-17
None,Sheriff Tiraspol,MOL,0,1358.0513916,2025-08-08,2025-08-14
None,Volendam,NED,1,1358.01000977,2025-08-10,2025-08-17
None,Lugano,SUI,1,1357.94836426,2025-08-11,2025-08-14
None,SonderjyskE,DEN,1,1357.40466309,2025-08-09,2025-08-15
None,Breda,NED,1,1356.00866699,2025-08-10,2025-08-17
None,AVS Futebol,POR,1,1355.97509766,2025-08-10,2025-08-15
None,Cosenza,ITA,2,1354.60180664,2025-06-01,2025-08-25
None,CSKA Sofia,BUL,1,1353.44494629,2025-08-10,2025-08-18
None,Plock,POL,1,1353.18652344,2025-08-10,2025-08-17
None,Maribor,SVN,1,1352.57495117,2025-08-11,2025-08-25
None,Telstar,NED,1,1351.82092285,2025-08-11,2025-08-15
None,Motor Lublin,POL,1,1351.49707031,2025-08-12,2025-08-16
None,Hapoel Haifa,ISR,1,1350.45397949,2025-08-08,2025-08-25
None,Akron Togliatti,RUS,1,1350.44152832,2025-07-20,2025-08-25
None,Teplice,CZE,1,1349.40124512,2025-08-10,2025-08-16
None,Sion,SUI,1,1348.34484863,2025-08-11,2025-08-25
None,Polissya Zhytomyr,UKR,1,1348.11450195,2025-08-11,2025-08-14
None,Universitatea Cluj,ROM,1,1348.1015625,2025-08-10,2025-08-18
None,Vejle,DEN,1,1347.96630859,2025-08-11,2025-08-17
None,Karvina,CZE,1,1347.30615234,2025-08-11,2025-08-17
None,Brommapojkarna,SWE,1,1346.98425293,2025-08-11,2025-08-17
None,Orenburg,RUS,1,1346.83618164,2025-07-22,2025-08-25
None,Excelsior,NED,1,1346.71520996,2025-08-10,2025-08-16
None,Nieciecza,POL,1,1346.71313477,2025-08-09,2025-08-17
None,Aberdeen,SCO,1,1346.06970215,2025-08-11,2025-08-25
None,Mlada Boleslav,CZE,1,1345.52075195,2025-08-10,2025-08-16
None,Trnava,SLK,0,1345.25878906,2025-08-08,2025-08-14
None,Zilina,SLK,0,1344.30700684,2025-08-08,2025-08-25
None,Odense,DEN,1,1344.01208496,2025-08-12,2025-08-18
None,Dynamo Makhachkala,RUS,1,1343.25695801,2025-07-20,2025-08-25
None,Fredericia,DEN,1,1343.24890137,2025-08-11,2025-08-15
None,Istra 1961,CRO,1,1343.08569336,2025-08-10,2025-08-25
